year,point,pf_usd_per_mw,fair_usd_per_mw,fair_share,top10_share,best_day,best_day_share,quick_estimate_usd_per_mw,negative_intervals
2019,LZ_HOUSTON,103671,-1678,-0.016,0.611,2019-08-15,0.163,99761,167
2019,LZ_NORTH,103185,-1437,-0.014,0.61,2019-08-15,0.164,99746,201
2019,LZ_SOUTH,110440,-452,-0.004,0.566,2019-08-15,0.153,104650,243
2019,LZ_WEST,145716,5205,0.036,0.439,2019-08-15,0.116,130950,1093
2019,LZ_AEN,102284,-1563,-0.015,0.615,2019-08-15,0.166,99080,201
2019,LZ_CPS,107593,1997,0.019,0.614,2019-08-15,0.157,102780,201
2019,LZ_LCRA,103035,-220,-0.002,0.613,2019-08-15,0.164,99815,215
2019,LZ_RAYBN,102188,-1814,-0.018,0.612,2019-08-15,0.166,98795,171
2019,HB_HOUSTON,102965,-1906,-0.019,0.615,2019-08-15,0.164,99390,174
2019,HB_NORTH,101841,-1662,-0.016,0.617,2019-08-15,0.166,98541,212
2019,HB_SOUTH,99177,-1782,-0.018,0.63,2019-08-15,0.171,96194,235
2019,HB_WEST,103678,-1014,-0.01,0.607,2019-08-15,0.163,100985,1327
2019,HB_HUBAVG,101111,-1591,-0.016,0.621,2019-08-15,0.167,97950,234
2019,HB_BUSAVG,101066,-1646,-0.016,0.621,2019-08-15,0.168,97843,221
2020,LZ_HOUSTON,36375,-4442,-0.122,0.449,2020-08-15,0.068,37556,313
2020,LZ_NORTH,32724,-4378,-0.134,0.449,2020-08-15,0.076,34850,335
2020,LZ_SOUTH,50730,-1504,-0.03,0.328,2020-08-15,0.048,50085,403
2020,LZ_WEST,80212,3173,0.04,0.253,2020-02-03,0.036,65475,2494
2020,LZ_AEN,35859,-3881,-0.108,0.412,2020-08-15,0.069,37114,353
2020,LZ_CPS,33583,-4415,-0.131,0.446,2020-08-15,0.073,35753,350
2020,LZ_LCRA,33729,-4098,-0.121,0.433,2020-08-15,0.073,35434,372
2020,LZ_RAYBN,32381,-4937,-0.152,0.447,2020-08-15,0.077,34347,321
2020,HB_HOUSTON,36149,-4562,-0.126,0.453,2020-08-15,0.068,37285,320
2020,HB_NORTH,32047,-4554,-0.142,0.456,2020-08-15,0.077,34185,343
2020,HB_SOUTH,31592,-4645,-0.147,0.455,2020-08-15,0.078,33922,358
2020,HB_WEST,34855,-3374,-0.097,0.425,2020-08-15,0.071,37876,2813
2020,HB_PAN,39218,-1802,-0.046,0.381,2020-08-15,0.064,44504,9099
2020,HB_HUBAVG,32854,-4284,-0.13,0.447,2020-08-15,0.075,35025,385
2020,HB_BUSAVG,32276,-4435,-0.137,0.45,2020-08-15,0.076,34439,342
2021,LZ_HOUSTON,127798,-14955,-0.117,0.638,2021-02-15,0.142,113143,615
2021,LZ_NORTH,117895,-14506,-0.123,0.646,2021-02-15,0.189,107863,748
2021,LZ_SOUTH,115624,-19241,-0.166,0.67,2021-02-15,0.205,105659,1092
2021,LZ_WEST,124452,-13210,-0.106,0.627,2021-02-15,0.189,112876,3434
2021,LZ_AEN,117814,-13637,-0.116,0.696,2021-02-15,0.206,107228,968
2021,LZ_CPS,121130,-14213,-0.117,0.639,2021-02-15,0.202,107447,1090
2021,LZ_LCRA,117728,-13167,-0.112,0.647,2021-02-15,0.155,108215,973
2021,LZ_RAYBN,117830,-15894,-0.135,0.651,2021-02-15,0.188,107285,730
2021,HB_HOUSTON,122316,-15203,-0.124,0.656,2021-02-15,0.148,110425,629
2021,HB_NORTH,115977,-15207,-0.131,0.654,2021-02-15,0.191,105871,741
2021,HB_SOUTH,110147,-17363,-0.158,0.675,2021-02-15,0.208,101206,1190
2021,HB_WEST,116809,-14995,-0.128,0.651,2021-02-15,0.191,107329,3262
2021,HB_PAN,120718,-14339,-0.119,0.632,2021-02-15,0.184,112848,8718
2021,HB_HUBAVG,114495,-15692,-0.137,0.669,2021-02-15,0.178,104742,853
2021,HB_BUSAVG,114316,-15643,-0.137,0.655,2021-02-15,0.191,104545,860
2022,LZ_HOUSTON,137659,19696,0.143,0.422,2022-07-13,0.071,118835,379
2022,LZ_NORTH,105906,18879,0.178,0.506,2022-07-13,0.097,97344,522
2022,LZ_SOUTH,98935,13032,0.132,0.409,2022-07-13,0.091,90455,861
2022,LZ_WEST,132364,20178,0.152,0.406,2022-07-13,0.079,116860,3533
2022,LZ_AEN,120484,23827,0.198,0.47,2022-07-13,0.094,109612,612
2022,LZ_CPS,114068,21340,0.187,0.465,2022-07-13,0.095,103381,749
2022,LZ_LCRA,117530,22483,0.191,0.464,2022-07-13,0.093,106971,641
2022,LZ_RAYBN,106212,18893,0.178,0.504,2022-07-13,0.097,97571,507
2022,HB_HOUSTON,133263,19635,0.147,0.433,2022-07-13,0.074,116514,402
2022,HB_NORTH,104986,18515,0.176,0.506,2022-07-13,0.098,96366,544
2022,HB_SOUTH,101388,15864,0.156,0.447,2022-07-13,0.092,93152,833
2022,HB_WEST,112676,18197,0.162,0.468,2022-07-13,0.092,103340,4212
2022,HB_PAN,111667,19231,0.172,0.474,2022-07-13,0.093,103035,6345
2022,HB_HUBAVG,109665,18053,0.165,0.459,2022-07-13,0.09,99746,601
