day,zone,score,flagged,spiked
2024-01-01,LZ_HOUSTON,0.0084,0,0
2024-01-01,LZ_NORTH,0.008,0,0
2024-01-01,LZ_SOUTH,0.0076,0,0
2024-01-01,LZ_WEST,0.0149,0,0
2024-01-02,LZ_HOUSTON,0.0121,0,0
2024-01-02,LZ_NORTH,0.0119,0,0
2024-01-02,LZ_SOUTH,0.0112,0,0
2024-01-02,LZ_WEST,0.0222,0,0
2024-01-03,LZ_HOUSTON,0.0109,0,0
2024-01-03,LZ_NORTH,0.0116,0,0
2024-01-03,LZ_SOUTH,0.011,0,0
2024-01-03,LZ_WEST,0.0243,0,0
2024-01-04,LZ_HOUSTON,0.0062,0,0
2024-01-04,LZ_NORTH,0.0063,0,0
2024-01-04,LZ_SOUTH,0.006,0,0
2024-01-04,LZ_WEST,0.0074,0,0
2024-01-05,LZ_HOUSTON,0.0082,0,0
2024-01-05,LZ_NORTH,0.0079,0,0
2024-01-05,LZ_SOUTH,0.0084,0,0
2024-01-05,LZ_WEST,0.0169,0,0
2024-01-06,LZ_HOUSTON,0.0112,0,0
2024-01-06,LZ_NORTH,0.0106,0,0
2024-01-06,LZ_SOUTH,0.0115,0,0
2024-01-06,LZ_WEST,0.0256,0,0
2024-01-07,LZ_HOUSTON,0.0066,0,0
2024-01-07,LZ_NORTH,0.0059,0,0
2024-01-07,LZ_SOUTH,0.0075,0,0
2024-01-07,LZ_WEST,0.0179,0,0
2024-01-08,LZ_HOUSTON,0.0064,0,0
2024-01-08,LZ_NORTH,0.0064,0,0
2024-01-08,LZ_SOUTH,0.0058,0,0
2024-01-08,LZ_WEST,0.006,0,0
2024-01-09,LZ_HOUSTON,0.019,0,0
2024-01-09,LZ_NORTH,0.0189,0,0
2024-01-09,LZ_SOUTH,0.019,0,0
2024-01-09,LZ_WEST,0.0338,0,0
2024-01-10,LZ_HOUSTON,0.0148,0,0
2024-01-10,LZ_NORTH,0.0143,0,0
2024-01-10,LZ_SOUTH,0.0136,0,0
2024-01-10,LZ_WEST,0.023,0,0
2024-01-11,LZ_HOUSTON,0.0057,0,0
2024-01-11,LZ_NORTH,0.0057,0,0
2024-01-11,LZ_SOUTH,0.0056,0,0
2024-01-11,LZ_WEST,0.0061,0,0
2024-01-12,LZ_HOUSTON,0.0098,0,0
2024-01-12,LZ_NORTH,0.0096,0,0
2024-01-12,LZ_SOUTH,0.01,0,0
2024-01-12,LZ_WEST,0.0186,0,0
2024-01-13,LZ_HOUSTON,0.0046,0,0
2024-01-13,LZ_NORTH,0.0077,0,0
2024-01-13,LZ_SOUTH,0.0045,0,0
2024-01-13,LZ_WEST,0.0089,0,0
2024-01-14,LZ_HOUSTON,0.0265,0,0
2024-01-14,LZ_NORTH,0.0365,0,0
2024-01-14,LZ_SOUTH,0.02,0,0
2024-01-14,LZ_WEST,0.0376,0,0
2024-01-15,LZ_HOUSTON,0.4281,0,0
2024-01-15,LZ_NORTH,0.486,0,0
2024-01-15,LZ_SOUTH,0.3939,0,0
2024-01-15,LZ_WEST,0.4851,0,0
2024-01-16,LZ_HOUSTON,0.6293,0,1
2024-01-16,LZ_NORTH,0.6559,0,1
2024-01-16,LZ_SOUTH,0.595,0,1
2024-01-16,LZ_WEST,0.6579,0,1
2024-01-17,LZ_HOUSTON,0.0903,0,0
2024-01-17,LZ_NORTH,0.0805,0,0
2024-01-17,LZ_SOUTH,0.1195,0,0
2024-01-17,LZ_WEST,0.0669,0,0
2024-01-18,LZ_HOUSTON,0.009,0,0
2024-01-18,LZ_NORTH,0.0089,0,0
2024-01-18,LZ_SOUTH,0.0111,0,0
2024-01-18,LZ_WEST,0.0107,0,0
2024-01-19,LZ_HOUSTON,0.0151,0,0
2024-01-19,LZ_NORTH,0.0163,0,0
2024-01-19,LZ_SOUTH,0.0127,0,0
2024-01-19,LZ_WEST,0.0198,0,0
2024-01-20,LZ_HOUSTON,0.029,0,0
2024-01-20,LZ_NORTH,0.0322,0,0
2024-01-20,LZ_SOUTH,0.0245,0,0
2024-01-20,LZ_WEST,0.0395,0,0
2024-01-21,LZ_HOUSTON,0.0055,0,0
2024-01-21,LZ_NORTH,0.0055,0,0
2024-01-21,LZ_SOUTH,0.0055,0,0
2024-01-21,LZ_WEST,0.0065,0,0
2024-01-22,LZ_HOUSTON,0.016,0,0
2024-01-22,LZ_NORTH,0.0159,0,0
2024-01-22,LZ_SOUTH,0.0153,0,0
2024-01-22,LZ_WEST,0.0214,0,0
2024-01-23,LZ_HOUSTON,0.0125,0,0
2024-01-23,LZ_NORTH,0.0122,0,0
2024-01-23,LZ_SOUTH,0.0117,0,0
2024-01-23,LZ_WEST,0.0246,0,0
2024-01-24,LZ_HOUSTON,0.0147,0,0
2024-01-24,LZ_NORTH,0.0144,0,0
2024-01-24,LZ_SOUTH,0.0149,0,0
2024-01-24,LZ_WEST,0.0251,0,0
2024-01-25,LZ_HOUSTON,0.0141,0,0
2024-01-25,LZ_NORTH,0.014,0,0
2024-01-25,LZ_SOUTH,0.0135,0,0
2024-01-25,LZ_WEST,0.0188,0,0
2024-01-26,LZ_HOUSTON,0.0081,0,0
2024-01-26,LZ_NORTH,0.0081,0,0
2024-01-26,LZ_SOUTH,0.0079,0,0
2024-01-26,LZ_WEST,0.0097,0,0
2024-01-27,LZ_HOUSTON,0.0084,0,0
2024-01-27,LZ_NORTH,0.0088,0,0
2024-01-27,LZ_SOUTH,0.0072,0,0
2024-01-27,LZ_WEST,0.0149,0,0
2024-01-28,LZ_HOUSTON,0.0121,0,0
2024-01-28,LZ_NORTH,0.0122,0,0
2024-01-28,LZ_SOUTH,0.0112,0,0
2024-01-28,LZ_WEST,0.0205,0,0
2024-01-29,LZ_HOUSTON,0.0097,0,0
2024-01-29,LZ_NORTH,0.0097,0,0
2024-01-29,LZ_SOUTH,0.0098,0,0
2024-01-29,LZ_WEST,0.0172,0,0
2024-01-30,LZ_HOUSTON,0.0075,0,0
2024-01-30,LZ_NORTH,0.0074,0,0
2024-01-30,LZ_SOUTH,0.008,0,0
2024-01-30,LZ_WEST,0.0161,0,0
2024-01-31,LZ_HOUSTON,0.0107,0,0
2024-01-31,LZ_NORTH,0.0107,0,0
2024-01-31,LZ_SOUTH,0.0109,0,0
2024-01-31,LZ_WEST,0.0141,0,0
2024-02-01,LZ_HOUSTON,0.0052,0,0
2024-02-01,LZ_NORTH,0.0051,0,0
2024-02-01,LZ_SOUTH,0.0053,0,0
2024-02-01,LZ_WEST,0.0063,0,0
2024-02-02,LZ_HOUSTON,0.0047,0,0
2024-02-02,LZ_NORTH,0.0045,0,0
2024-02-02,LZ_SOUTH,0.0039,0,0
2024-02-02,LZ_WEST,0.0087,0,0
2024-02-03,LZ_HOUSTON,0.006,0,0
2024-02-03,LZ_NORTH,0.006,0,0
2024-02-03,LZ_SOUTH,0.006,0,0
2024-02-03,LZ_WEST,0.0061,0,0
2024-02-04,LZ_HOUSTON,0.0054,0,0
2024-02-04,LZ_NORTH,0.0054,0,0
2024-02-04,LZ_SOUTH,0.0042,0,0
2024-02-04,LZ_WEST,0.0061,0,0
2024-02-05,LZ_HOUSTON,0.0144,0,0
2024-02-05,LZ_NORTH,0.0142,0,0
2024-02-05,LZ_SOUTH,0.0141,0,0
2024-02-05,LZ_WEST,0.0213,0,0
2024-02-06,LZ_HOUSTON,0.0181,0,0
2024-02-06,LZ_NORTH,0.0173,0,0
2024-02-06,LZ_SOUTH,0.0179,0,0
2024-02-06,LZ_WEST,0.0221,0,0
2024-02-07,LZ_HOUSTON,0.0053,0,0
2024-02-07,LZ_NORTH,0.0051,0,0
2024-02-07,LZ_SOUTH,0.0047,0,0
2024-02-07,LZ_WEST,0.0039,0,0
2024-02-08,LZ_HOUSTON,0.0064,0,0
2024-02-08,LZ_NORTH,0.0061,0,0
2024-02-08,LZ_SOUTH,0.0065,0,0
2024-02-08,LZ_WEST,0.0096,0,0
2024-02-09,LZ_HOUSTON,0.0117,0,0
2024-02-09,LZ_NORTH,0.0113,0,0
2024-02-09,LZ_SOUTH,0.01,0,0
2024-02-09,LZ_WEST,0.0191,0,0
2024-02-10,LZ_HOUSTON,0.006,0,0
2024-02-10,LZ_NORTH,0.0056,0,0
2024-02-10,LZ_SOUTH,0.0058,0,0
2024-02-10,LZ_WEST,0.0092,0,0
2024-02-11,LZ_HOUSTON,0.0058,0,0
2024-02-11,LZ_NORTH,0.0059,0,0
2024-02-11,LZ_SOUTH,0.0054,0,0
2024-02-11,LZ_WEST,0.0073,0,0
2024-02-12,LZ_HOUSTON,0.0162,0,0
2024-02-12,LZ_NORTH,0.0167,0,0
2024-02-12,LZ_SOUTH,0.0167,0,0
2024-02-12,LZ_WEST,0.0281,0,0
2024-02-13,LZ_HOUSTON,0.0079,0,0
2024-02-13,LZ_NORTH,0.0078,0,0
2024-02-13,LZ_SOUTH,0.0081,0,0
2024-02-13,LZ_WEST,0.0115,0,0
2024-02-14,LZ_HOUSTON,0.0043,0,0
2024-02-14,LZ_NORTH,0.0042,0,0
2024-02-14,LZ_SOUTH,0.0044,0,0
2024-02-14,LZ_WEST,0.0072,0,0
2024-02-15,LZ_HOUSTON,0.0065,0,0
2024-02-15,LZ_NORTH,0.0065,0,0
2024-02-15,LZ_SOUTH,0.0068,0,0
2024-02-15,LZ_WEST,0.0129,0,0
2024-02-16,LZ_HOUSTON,0.0032,0,0
2024-02-16,LZ_NORTH,0.0031,0,0
2024-02-16,LZ_SOUTH,0.004,0,0
2024-02-16,LZ_WEST,0.0055,0,0
2024-02-17,LZ_HOUSTON,0.0137,0,0
2024-02-17,LZ_NORTH,0.0144,0,0
2024-02-17,LZ_SOUTH,0.0126,0,0
2024-02-17,LZ_WEST,0.0263,0,0
2024-02-18,LZ_HOUSTON,0.0092,0,0
2024-02-18,LZ_NORTH,0.0087,0,0
2024-02-18,LZ_SOUTH,0.0097,0,0
2024-02-18,LZ_WEST,0.0212,0,0
2024-02-19,LZ_HOUSTON,0.0111,0,0
2024-02-19,LZ_NORTH,0.0107,0,0
2024-02-19,LZ_SOUTH,0.0104,0,0
2024-02-19,LZ_WEST,0.0208,0,0
2024-02-20,LZ_HOUSTON,0.0072,0,0
2024-02-20,LZ_NORTH,0.0068,0,0
2024-02-20,LZ_SOUTH,0.0065,0,0
2024-02-20,LZ_WEST,0.0091,0,0
2024-02-21,LZ_HOUSTON,0.0041,0,0
2024-02-21,LZ_NORTH,0.0035,0,0
2024-02-21,LZ_SOUTH,0.0034,0,0
2024-02-21,LZ_WEST,0.0038,0,0
2024-02-22,LZ_HOUSTON,0.0129,0,0
2024-02-22,LZ_NORTH,0.0124,0,0
2024-02-22,LZ_SOUTH,0.0136,0,0
2024-02-22,LZ_WEST,0.0179,0,0
2024-02-23,LZ_HOUSTON,0.0171,0,0
2024-02-23,LZ_NORTH,0.0171,0,0
2024-02-23,LZ_SOUTH,0.0167,0,0
2024-02-23,LZ_WEST,0.028,0,0
2024-02-24,LZ_HOUSTON,0.0041,0,0
2024-02-24,LZ_NORTH,0.0041,0,0
2024-02-24,LZ_SOUTH,0.004,0,0
2024-02-24,LZ_WEST,0.0064,0,0
2024-02-25,LZ_HOUSTON,0.0189,0,0
2024-02-25,LZ_NORTH,0.0183,0,0
2024-02-25,LZ_SOUTH,0.0166,0,0
2024-02-25,LZ_WEST,0.0349,0,0
2024-02-26,LZ_HOUSTON,0.0146,0,0
2024-02-26,LZ_NORTH,0.0136,0,0
2024-02-26,LZ_SOUTH,0.0109,0,0
2024-02-26,LZ_WEST,0.0241,0,0
2024-02-27,LZ_HOUSTON,0.0107,0,0
2024-02-27,LZ_NORTH,0.0091,0,0
2024-02-27,LZ_SOUTH,0.0101,0,0
2024-02-27,LZ_WEST,0.0092,0,0
2024-02-28,LZ_HOUSTON,0.0087,0,0
2024-02-28,LZ_NORTH,0.0089,0,0
2024-02-28,LZ_SOUTH,0.005,0,0
2024-02-28,LZ_WEST,0.015,0,0
2024-02-29,LZ_HOUSTON,0.0121,0,0
2024-02-29,LZ_NORTH,0.0124,0,0
2024-02-29,LZ_SOUTH,0.0113,0,0
2024-02-29,LZ_WEST,0.0209,0,0
2024-03-01,LZ_HOUSTON,0.0129,0,0
2024-03-01,LZ_NORTH,0.0119,0,0
2024-03-01,LZ_SOUTH,0.0139,0,0
2024-03-01,LZ_WEST,0.0208,0,0
2024-03-02,LZ_HOUSTON,0.0121,0,0
2024-03-02,LZ_NORTH,0.0113,0,0
2024-03-02,LZ_SOUTH,0.0125,0,0
2024-03-02,LZ_WEST,0.0183,0,0
2024-03-03,LZ_HOUSTON,0.012,0,0
2024-03-03,LZ_NORTH,0.0114,0,0
2024-03-03,LZ_SOUTH,0.0126,0,0
2024-03-03,LZ_WEST,0.0188,0,0
2024-03-04,LZ_HOUSTON,0.0565,0,0
2024-03-04,LZ_NORTH,0.0551,0,0
2024-03-04,LZ_SOUTH,0.058,0,0
2024-03-04,LZ_WEST,0.068,0,0
2024-03-05,LZ_HOUSTON,0.1175,0,0
2024-03-05,LZ_NORTH,0.1136,0,0
