hour_start_ct,LZ_HOUSTON,LZ_NORTH,LZ_SOUTH,LZ_WEST
2023-07-01T00:00:00-05:00,23.47,23.17,22.83,27.36
2023-07-01T01:00:00-05:00,20.27,19.92,20.07,24.39
2023-07-01T02:00:00-05:00,18.13,17.84,17.99,21.66
2023-07-01T03:00:00-05:00,16.96,16.69,16.93,20.66
2023-07-01T04:00:00-05:00,16.06,15.84,16.0,19.1
2023-07-01T05:00:00-05:00,15.75,15.59,15.69,18.55
2023-07-01T06:00:00-05:00,17.28,17.14,17.11,19.16
2023-07-01T07:00:00-05:00,17.26,17.16,17.05,18.63
2023-07-01T08:00:00-05:00,18.33,18.36,17.93,18.69
2023-07-01T09:00:00-05:00,18.78,18.88,18.2,19.06
2023-07-01T10:00:00-05:00,22.34,21.72,21.44,21.99
2023-07-01T11:00:00-05:00,29.3,26.83,27.63,27.28
2023-07-01T12:00:00-05:00,35.92,34.76,34.78,35.01
2023-07-01T13:00:00-05:00,42.57,41.79,41.9,42.0
2023-07-01T14:00:00-05:00,65.35,64.58,60.74,64.8
2023-07-01T15:00:00-05:00,103.29,101.91,91.86,102.3
2023-07-01T16:00:00-05:00,150.93,150.58,134.22,151.37
2023-07-01T17:00:00-05:00,147.56,148.76,125.23,150.02
2023-07-01T18:00:00-05:00,112.64,116.42,85.79,119.68
2023-07-01T19:00:00-05:00,107.55,112.42,76.04,118.06
2023-07-01T20:00:00-05:00,100.1,103.19,77.58,116.17
2023-07-01T21:00:00-05:00,49.71,50.1,44.06,59.38
2023-07-01T22:00:00-05:00,35.47,35.21,33.4,43.99
2023-07-01T23:00:00-05:00,31.84,31.43,30.75,39.09
2023-07-02T00:00:00-05:00,30.34,30.22,29.21,34.9
2023-07-02T01:00:00-05:00,27.55,27.24,27.05,33.6
2023-07-02T02:00:00-05:00,25.25,24.94,24.97,31.5
2023-07-02T03:00:00-05:00,23.85,23.41,23.95,31.58
2023-07-02T04:00:00-05:00,22.29,21.79,22.57,30.81
2023-07-02T05:00:00-05:00,21.99,21.38,22.47,31.13
2023-07-02T06:00:00-05:00,17.67,16.87,18.28,25.11
2023-07-02T07:00:00-05:00,17.94,17.42,18.29,22.32
2023-07-02T08:00:00-05:00,17.94,17.85,18.01,18.63
2023-07-02T09:00:00-05:00,19.01,19.02,19.04,19.09
2023-07-02T10:00:00-05:00,23.18,23.18,23.28,23.3
2023-07-02T11:00:00-05:00,28.99,28.99,29.2,29.11
2023-07-02T12:00:00-05:00,35.17,35.18,35.75,35.4
2023-07-02T13:00:00-05:00,64.12,64.01,64.77,64.38
2023-07-02T14:00:00-05:00,150.09,150.04,151.23,150.6
2023-07-02T15:00:00-05:00,236.66,236.5,238.84,237.2
2023-07-02T16:00:00-05:00,287.29,287.12,287.46,288.19
2023-07-02T17:00:00-05:00,260.42,261.62,256.14,263.08
2023-07-02T18:00:00-05:00,159.67,161.54,152.45,163.72
2023-07-02T19:00:00-05:00,151.64,153.32,139.82,157.92
2023-07-02T20:00:00-05:00,128.76,129.74,118.38,140.46
2023-07-02T21:00:00-05:00,60.29,59.78,58.69,69.78
2023-07-02T22:00:00-05:00,36.75,36.2,35.8,45.24
2023-07-02T23:00:00-05:00,30.85,30.41,30.32,37.8
2023-07-03T00:00:00-05:00,24.98,24.53,25.06,30.68
2023-07-03T01:00:00-05:00,22.37,21.97,22.54,27.17
2023-07-03T02:00:00-05:00,20.98,20.61,21.14,25.4
2023-07-03T03:00:00-05:00,20.37,19.99,20.62,24.55
2023-07-03T04:00:00-05:00,20.52,20.08,20.83,25.17
2023-07-03T05:00:00-05:00,22.2,21.74,22.52,26.82
2023-07-03T06:00:00-05:00,20.94,20.68,21.14,24.21
2023-07-03T07:00:00-05:00,21.11,20.89,21.21,23.33
2023-07-03T08:00:00-05:00,20.44,20.28,20.37,20.67
2023-07-03T09:00:00-05:00,23.0,21.35,22.09,21.64
2023-07-03T10:00:00-05:00,31.25,25.7,28.16,26.26
2023-07-03T11:00:00-05:00,39.18,30.29,34.1,31.12
2023-07-03T12:00:00-05:00,55.97,45.55,51.04,46.49
2023-07-03T13:00:00-05:00,101.26,99.39,100.92,99.66
2023-07-03T14:00:00-05:00,153.4,150.29,153.87,150.67
2023-07-03T15:00:00-05:00,249.74,246.94,250.55,247.26
2023-07-03T16:00:00-05:00,264.58,261.5,265.24,261.83
2023-07-03T17:00:00-05:00,175.7,174.01,170.19,174.9
2023-07-03T18:00:00-05:00,109.69,110.69,101.4,112.61
2023-07-03T19:00:00-05:00,103.19,104.43,95.17,108.02
2023-07-03T20:00:00-05:00,74.13,75.03,67.61,79.98
2023-07-03T21:00:00-05:00,35.89,35.79,34.57,41.04
