hour_start_ct,LZ_HOUSTON,LZ_NORTH,LZ_SOUTH,LZ_WEST
2026-09-20T00:00:00-05:00,34.63,33.63,36.99,46.35
2026-09-20T01:00:00-05:00,31.37,30.18,33.55,44.3
2026-09-20T02:00:00-05:00,30.48,29.37,32.56,42.97
2026-09-20T03:00:00-05:00,29.88,29.08,32.26,40.41
2026-09-20T04:00:00-05:00,28.67,28.02,31.31,38.46
2026-09-20T05:00:00-05:00,28.52,28.02,30.87,36.75
2026-09-20T06:00:00-05:00,29.47,28.77,32.28,39.55
2026-09-20T07:00:00-05:00,29.26,28.15,31.87,41.79
2026-09-20T08:00:00-05:00,24.19,23.6,27.57,32.0
2026-09-20T09:00:00-05:00,22.96,22.26,26.98,27.3
2026-09-20T10:00:00-05:00,24.3,23.46,29.03,26.05
2026-09-20T11:00:00-05:00,27.97,26.1,34.49,28.12
2026-09-20T12:00:00-05:00,36.39,31.7,44.4,35.36
2026-09-20T13:00:00-05:00,48.0,42.24,54.39,48.66
2026-09-20T14:00:00-05:00,54.83,49.53,58.24,56.46
2026-09-20T15:00:00-05:00,67.2,62.83,67.42,67.56
2026-09-20T16:00:00-05:00,64.0,68.16,69.15,73.35
2026-09-20T17:00:00-05:00,77.43,89.92,83.7,93.03
2026-09-20T18:00:00-05:00,98.21,126.86,103.8,128.64
2026-09-20T19:00:00-05:00,107.14,128.91,105.35,135.85
2026-09-20T20:00:00-05:00,96.58,105.63,96.16,115.03
2026-09-20T21:00:00-05:00,95.85,95.38,97.05,107.13
2026-09-20T22:00:00-05:00,72.89,72.31,73.82,81.85
2026-09-20T23:00:00-05:00,45.44,44.56,46.56,55.2
2026-09-21T00:00:00-05:00,40.22,40.15,42.94,46.2
2026-09-21T01:00:00-05:00,38.31,38.3,42.0,45.17
2026-09-21T02:00:00-05:00,39.37,39.26,43.84,48.55
2026-09-21T03:00:00-05:00,40.0,40.08,45.07,49.06
2026-09-21T04:00:00-05:00,41.03,40.61,45.5,53.15
2026-09-21T05:00:00-05:00,48.69,47.85,53.61,65.0
2026-09-21T06:00:00-05:00,56.12,55.62,63.33,71.88
2026-09-21T07:00:00-05:00,48.17,47.61,55.34,65.0
2026-09-21T08:00:00-05:00,36.34,34.46,42.99,51.67
2026-09-21T09:00:00-05:00,29.22,28.27,36.47,33.68
2026-09-21T10:00:00-05:00,28.98,26.49,38.65,30.83
2026-09-21T11:00:00-05:00,34.63,27.71,46.51,32.22
2026-09-21T12:00:00-05:00,40.7,30.35,54.42,36.36
2026-09-21T13:00:00-05:00,53.17,40.16,65.28,48.58
2026-09-21T14:00:00-05:00,51.02,42.93,69.02,56.09
2026-09-21T15:00:00-05:00,58.65,55.04,77.95,67.73
2026-09-21T16:00:00-05:00,67.74,66.84,78.47,77.66
2026-09-21T17:00:00-05:00,65.6,73.46,76.18,82.65
2026-09-21T18:00:00-05:00,97.46,105.34,99.66,115.57
2026-09-21T19:00:00-05:00,108.89,121.19,111.9,128.13
2026-09-21T20:00:00-05:00,108.39,113.04,109.27,116.58
2026-09-21T21:00:00-05:00,105.81,107.51,107.45,110.53
2026-09-21T22:00:00-05:00,90.26,90.36,90.64,92.97
2026-09-21T23:00:00-05:00,62.38,62.06,62.86,66.31
