interval_start_ct,LZ_HOUSTON,LZ_NORTH,LZ_SOUTH,LZ_WEST
2023-08-31T00:00:00-05:00,25.84,22.08,28.97,51.89
2023-08-31T00:15:00-05:00,25.79,19.51,30.98,69.45
2023-08-31T00:30:00-05:00,24.73,19.31,29.21,62.55
2023-08-31T00:45:00-05:00,24.94,19.38,29.52,63.8
2023-08-31T01:00:00-05:00,23.64,19.31,27.19,53.8
2023-08-31T01:15:00-05:00,23.8,18.07,28.49,64.16
2023-08-31T01:30:00-05:00,23.19,16.66,28.55,69.31
2023-08-31T01:45:00-05:00,22.2,16.02,27.25,65.8
2023-08-31T02:00:00-05:00,23.03,13.15,31.1,92.88
2023-08-31T02:15:00-05:00,22.07,16.47,26.64,61.53
2023-08-31T02:30:00-05:00,21.49,13.75,27.84,76.39
2023-08-31T02:45:00-05:00,20.91,15.3,25.48,60.63
2023-08-31T03:00:00-05:00,20.59,14.46,25.57,64.06
2023-08-31T03:15:00-05:00,20.66,15.34,25.01,58.59
2023-08-31T03:30:00-05:00,20.29,14.24,25.22,63.6
2023-08-31T03:45:00-05:00,20.22,14.68,24.74,59.97
2023-08-31T04:00:00-05:00,20.19,14.3,24.97,62.49
2023-08-31T04:15:00-05:00,20.24,14.5,24.89,61.42
2023-08-31T04:30:00-05:00,20.64,15.24,25.02,59.49
2023-08-31T04:45:00-05:00,20.9,15.52,25.27,59.5
2023-08-31T05:00:00-05:00,21.56,16.46,25.71,58.17
2023-08-31T05:15:00-05:00,22.04,16.77,26.34,59.87
2023-08-31T05:30:00-05:00,21.69,16.43,25.97,59.29
2023-08-31T05:45:00-05:00,21.88,16.3,26.45,61.9
2023-08-31T06:00:00-05:00,23.11,18.13,27.18,58.53
2023-08-31T06:15:00-05:00,26.15,18.08,32.78,83.74
2023-08-31T06:30:00-05:00,24.77,20.0,28.68,58.67
2023-08-31T06:45:00-05:00,25.41,20.04,29.86,63.64
2023-08-31T07:00:00-05:00,25.08,19.32,29.96,66.16
2023-08-31T07:15:00-05:00,24.93,18.45,30.39,71.08
2023-08-31T07:30:00-05:00,23.37,18.27,27.63,59.56
2023-08-31T07:45:00-05:00,21.89,18.51,24.7,45.92
2023-08-31T08:00:00-05:00,21.26,20.46,21.9,26.83
2023-08-31T08:15:00-05:00,20.99,20.95,20.97,20.97
2023-08-31T08:30:00-05:00,20.85,20.78,20.83,20.83
2023-08-31T08:45:00-05:00,20.18,20.12,20.17,20.17
2023-08-31T09:00:00-05:00,20.0,19.94,20.0,20.0
2023-08-31T09:15:00-05:00,20.75,20.68,20.74,20.74
2023-08-31T09:30:00-05:00,21.56,21.48,21.55,21.54
2023-08-31T09:45:00-05:00,24.08,23.99,24.06,24.05
2023-08-31T10:00:00-05:00,23.79,23.72,23.79,23.79
2023-08-31T10:15:00-05:00,24.56,24.49,24.56,24.56
2023-08-31T10:30:00-05:00,25.66,25.6,25.66,25.66
2023-08-31T10:45:00-05:00,27.72,27.65,27.72,27.72
2023-08-31T11:00:00-05:00,30.4,30.32,30.4,30.4
2023-08-31T11:15:00-05:00,35.0,34.91,35.0,35.0
2023-08-31T11:30:00-05:00,52.62,52.48,52.62,52.62
2023-08-31T11:45:00-05:00,33.35,33.26,33.35,33.35
2023-08-31T12:00:00-05:00,34.53,34.44,34.53,34.53
2023-08-31T12:15:00-05:00,66.51,66.33,66.51,66.51
2023-08-31T12:30:00-05:00,79.75,79.54,79.75,79.75
2023-08-31T12:45:00-05:00,78.62,78.41,78.62,78.62
2023-08-31T13:00:00-05:00,38.86,38.76,38.86,38.86
2023-08-31T13:15:00-05:00,74.46,68.12,74.46,74.46
2023-08-31T13:30:00-05:00,98.22,87.34,98.22,98.22
2023-08-31T13:45:00-05:00,75.11,75.11,75.1,75.11
2023-08-31T14:00:00-05:00,75.07,75.07,75.07,75.07
2023-08-31T14:15:00-05:00,75.19,75.19,75.19,75.19
2023-08-31T14:30:00-05:00,161.6,161.6,161.6,161.6
2023-08-31T14:45:00-05:00,87.32,87.32,87.32,87.32
2023-08-31T15:00:00-05:00,154.26,154.26,154.26,154.26
