interval_start_ct,LZ_HOUSTON,LZ_NORTH,LZ_SOUTH,LZ_WEST
2026-09-20T00:00:00-05:00,33.18,33.16,33.19,33.58
2026-09-20T00:15:00-05:00,32.25,32.61,34.18,33.14
2026-09-20T00:30:00-05:00,26.66,27.71,32.07,31.68
2026-09-20T00:45:00-05:00,28.07,29.24,34.0,30.33
2026-09-20T01:00:00-05:00,27.87,29.02,33.64,29.69
2026-09-20T01:15:00-05:00,26.03,27.91,35.43,29.49
2026-09-20T01:30:00-05:00,24.75,27.02,35.87,32.99
2026-09-20T01:45:00-05:00,25.18,28.36,40.61,37.02
2026-09-20T02:00:00-05:00,27.12,29.1,36.49,39.87
2026-09-20T02:15:00-05:00,25.47,29.35,44.12,43.12
2026-09-20T02:30:00-05:00,26.07,29.55,46.71,52.2
2026-09-20T02:45:00-05:00,26.99,28.61,42.48,58.76
2026-09-20T03:00:00-05:00,25.27,28.3,48.04,43.75
2026-09-20T03:15:00-05:00,24.78,25.9,37.93,40.55
2026-09-20T03:30:00-05:00,25.63,28.05,50.81,54.5
2026-09-20T03:45:00-05:00,24.69,26.37,41.45,45.1
2026-09-20T04:00:00-05:00,25.11,26.27,38.19,44.43
2026-09-20T04:15:00-05:00,27.55,29.0,39.99,48.25
2026-09-20T04:30:00-05:00,25.47,27.04,36.8,45.74
2026-09-20T04:45:00-05:00,27.74,27.66,42.8,57.7
2026-09-20T05:00:00-05:00,25.95,27.1,37.95,38.29
2026-09-20T05:15:00-05:00,28.64,26.23,40.03,66.45
2026-09-20T05:30:00-05:00,26.33,24.44,39.02,62.35
2026-09-20T05:45:00-05:00,23.94,22.98,35.17,50.37
2026-09-20T06:00:00-05:00,24.22,24.79,34.71,38.87
2026-09-20T06:15:00-05:00,24.38,24.63,33.83,40.22
2026-09-20T06:30:00-05:00,22.92,24.5,36.28,35.7
2026-09-20T06:45:00-05:00,22.37,24.18,34.74,30.97
2026-09-20T07:00:00-05:00,25.14,25.21,35.33,41.86
2026-09-20T07:15:00-05:00,27.08,26.99,35.42,42.55
2026-09-20T07:30:00-05:00,25.38,27.03,41.39,41.98
2026-09-20T07:45:00-05:00,24.16,23.56,30.83,41.21
2026-09-20T08:00:00-05:00,25.03,24.19,31.66,43.7
2026-09-20T08:15:00-05:00,24.4,22.91,27.43,41.63
2026-09-20T08:30:00-05:00,22.04,20.69,25.33,37.27
2026-09-20T08:45:00-05:00,21.1,20.08,22.74,29.73
2026-09-20T09:00:00-05:00,22.0,21.13,23.59,29.13
2026-09-20T09:15:00-05:00,22.52,22.11,24.84,22.83
2026-09-20T09:30:00-05:00,22.08,21.74,24.55,21.58
2026-09-20T09:45:00-05:00,22.42,22.0,25.16,22.31
2026-09-20T10:00:00-05:00,21.72,21.87,27.03,21.83
2026-09-20T10:15:00-05:00,18.56,20.82,35.59,21.28
2026-09-20T10:30:00-05:00,20.5,20.02,26.55,19.6
2026-09-20T10:45:00-05:00,20.61,19.63,28.86,18.73
2026-09-20T11:00:00-05:00,17.83,16.36,28.45,14.85
2026-09-20T11:15:00-05:00,20.08,15.78,36.1,14.19
2026-09-20T11:30:00-05:00,22.85,18.73,39.15,17.08
2026-09-20T11:45:00-05:00,23.0,18.85,40.47,17.56
2026-09-20T12:00:00-05:00,24.72,17.71,51.0,17.51
2026-09-20T12:15:00-05:00,30.2,19.17,67.56,19.98
2026-09-20T12:30:00-05:00,31.29,20.46,65.44,20.27
2026-09-20T12:45:00-05:00,32.81,20.0,68.52,21.61
2026-09-20T13:00:00-05:00,28.78,20.12,56.58,19.88
2026-09-20T13:15:00-05:00,29.37,21.03,56.13,20.84
2026-09-20T13:30:00-05:00,39.81,28.43,65.73,29.81
2026-09-20T13:45:00-05:00,43.09,30.06,68.77,31.8
2026-09-20T14:00:00-05:00,40.49,30.61,71.55,31.0
2026-09-20T14:15:00-05:00,41.47,35.13,64.85,35.59
2026-09-20T14:30:00-05:00,41.19,38.4,57.42,37.53
2026-09-20T14:45:00-05:00,34.34,33.17,47.3,32.92
2026-09-20T15:00:00-05:00,41.16,40.48,51.3,41.38
2026-09-20T15:15:00-05:00,40.3,39.89,44.94,39.73
2026-09-20T15:30:00-05:00,49.38,50.74,52.21,69.32
2026-09-20T15:45:00-05:00,58.61,62.33,61.52,116.4
2026-09-20T16:00:00-05:00,49.39,53.23,48.41,95.78
2026-09-20T16:15:00-05:00,41.81,60.66,44.05,78.33
2026-09-20T16:30:00-05:00,43.26,57.42,50.52,92.53
2026-09-20T16:45:00-05:00,53.48,62.44,63.45,96.35
2026-09-20T17:00:00-05:00,60.59,66.55,63.2,79.89
2026-09-20T17:15:00-05:00,76.7,89.5,71.34,114.4
2026-09-20T17:30:00-05:00,94.99,108.86,87.26,128.79
2026-09-20T17:45:00-05:00,99.57,110.67,95.29,170.19
2026-09-20T18:00:00-05:00,87.17,90.56,84.38,111.74
2026-09-20T18:15:00-05:00,93.89,96.97,91.25,112.63
2026-09-20T18:30:00-05:00,97.08,99.34,96.62,122.05
2026-09-20T18:45:00-05:00,101.54,103.55,101.56,108.73
2026-09-20T19:00:00-05:00,92.61,92.66,92.61,92.66
2026-09-20T19:15:00-05:00,93.35,93.7,93.38,93.67
2026-09-20T19:30:00-05:00,91.82,93.15,91.92,93.05
2026-09-20T19:45:00-05:00,83.39,84.01,83.54,84.95
2026-09-20T20:00:00-05:00,73.86,73.9,73.88,74.07
2026-09-20T20:15:00-05:00,62.91,62.69,63.13,64.96
2026-09-20T20:30:00-05:00,53.65,53.19,54.12,58.02
2026-09-20T20:45:00-05:00,49.28,47.88,50.71,62.68
2026-09-20T21:00:00-05:00,49.74,48.06,51.45,65.84
2026-09-20T21:15:00-05:00,44.09,42.23,45.92,61.35
2026-09-20T21:30:00-05:00,38.19,36.55,39.75,53.5
2026-09-20T21:45:00-05:00,35.2,34.19,36.14,44.77
2026-09-20T22:00:00-05:00,37.14,36.44,37.83,43.65
2026-09-20T22:15:00-05:00,35.74,35.14,36.4,41.05
2026-09-20T22:30:00-05:00,32.43,32.03,34.93,36.59
2026-09-20T22:45:00-05:00,31.32,31.09,31.7,35.86
2026-09-20T23:00:00-05:00,30.36,30.3,30.5,31.44
2026-09-20T23:15:00-05:00,29.72,29.68,29.84,30.59
2026-09-20T23:30:00-05:00,29.53,29.48,29.66,30.4
2026-09-20T23:45:00-05:00,29.11,29.07,33.02,29.98
2026-09-21T00:00:00-05:00,29.09,29.0,31.25,30.4
2026-09-21T00:15:00-05:00,29.43,29.07,29.81,33.34
2026-09-21T00:30:00-05:00,29.01,28.88,29.18,30.72
2026-09-21T00:45:00-05:00,28.38,28.01,28.79,32.35
2026-09-21T01:00:00-05:00,28.3,28.07,28.58,30.98
2026-09-21T01:15:00-05:00,27.41,27.21,27.66,29.83
2026-09-21T01:30:00-05:00,26.52,26.38,26.74,28.35
2026-09-21T01:45:00-05:00,26.13,26.08,26.28,27.13
2026-09-21T02:00:00-05:00,26.81,26.78,26.87,27.39
2026-09-21T02:15:00-05:00,26.54,26.53,26.53,26.53
2026-09-21T02:30:00-05:00,26.55,26.55,26.55,26.55
2026-09-21T02:45:00-05:00,26.47,26.47,26.47,26.47
2026-09-21T03:00:00-05:00,24.9,24.9,24.9,24.9
2026-09-21T03:15:00-05:00,25.66,25.66,25.66,25.66
2026-09-21T03:30:00-05:00,25.91,25.91,25.91,25.91
2026-09-21T03:45:00-05:00,28.23,28.23,28.27,28.23
2026-09-21T04:00:00-05:00,26.54,26.54,26.57,26.54
2026-09-21T04:15:00-05:00,28.04,28.04,28.07,28.06
2026-09-21T04:30:00-05:00,28.47,28.47,28.5,28.47
2026-09-21T04:45:00-05:00,31.76,31.76,31.76,31.76
2026-09-21T05:00:00-05:00,35.25,35.23,35.26,35.61
2026-09-21T05:15:00-05:00,34.15,34.08,34.22,35.03
2026-09-21T05:30:00-05:00,30.92,30.9,30.95,31.43
2026-09-21T05:45:00-05:00,29.48,29.48,29.48,29.55
2026-09-21T06:00:00-05:00,30.74,30.74,30.74,30.74
2026-09-21T06:15:00-05:00,34.73,34.73,34.73,34.74
2026-09-21T06:30:00-05:00,36.4,36.29,36.5,37.33
2026-09-21T06:45:00-05:00,38.59,38.55,38.61,38.85
2026-09-21T07:00:00-05:00,36.61,36.61,36.61,36.61
2026-09-21T07:15:00-05:00,37.62,37.62,37.62,37.62
2026-09-21T07:30:00-05:00,35.48,35.46,35.49,35.64
2026-09-21T07:45:00-05:00,33.51,33.27,33.73,35.52
2026-09-21T08:00:00-05:00,31.04,30.3,31.54,35.54
2026-09-21T08:15:00-05:00,25.65,24.78,26.39,32.73
2026-09-21T08:30:00-05:00,22.87,21.96,24.41,29.01
2026-09-21T08:45:00-05:00,21.52,20.7,23.72,25.89
2026-09-21T09:00:00-05:00,23.03,22.16,26.21,26.28
2026-09-21T09:15:00-05:00,21.92,21.25,24.94,23.45
2026-09-21T09:30:00-05:00,22.44,21.51,25.95,25.75
2026-09-21T09:45:00-05:00,23.44,21.56,27.13,27.54
2026-09-21T10:00:00-05:00,24.65,21.26,29.66,27.24
2026-09-21T10:15:00-05:00,26.33,20.58,31.03,26.88
2026-09-21T10:30:00-05:00,31.69,19.14,31.58,24.85
2026-09-21T10:45:00-05:00,39.21,19.64,36.27,23.83
2026-09-21T11:00:00-05:00,43.54,19.37,38.04,20.0
2026-09-21T11:15:00-05:00,43.16,21.56,46.11,22.14
2026-09-21T11:30:00-05:00,37.11,23.08,44.86,23.9
2026-09-21T11:45:00-05:00,30.98,25.04,50.78,25.81
2026-09-21T12:00:00-05:00,31.21,23.27,54.95,35.65
2026-09-21T12:15:00-05:00,54.33,23.23,56.61,39.24
2026-09-21T12:30:00-05:00,66.69,24.94,64.63,43.41
2026-09-21T12:45:00-05:00,49.04,26.63,67.43,45.92
2026-09-21T13:00:00-05:00,65.9,30.18,89.33,59.43
2026-09-21T13:15:00-05:00,63.39,31.82,74.12,54.74
2026-09-21T13:30:00-05:00,65.79,33.81,90.18,61.51
2026-09-21T13:45:00-05:00,64.11,29.66,72.25,44.57
2026-09-21T14:00:00-05:00,63.81,28.56,73.58,31.87
2026-09-21T14:15:00-05:00,68.68,29.62,92.24,50.22
2026-09-21T14:30:00-05:00,61.67,33.42,97.21,67.35
2026-09-21T14:45:00-05:00,45.25,29.53,63.32,42.61
