season,kickoff_ct,weekday,opponent,attendance,venue
2023,2023-09-02T14:30:00-05:00,Sat,Rice Owls,98017,DKR-Texas Memorial Stadium
2023,2023-09-16T19:00:00-05:00,Sat,Wyoming Cowboys,101777,DKR-Texas Memorial Stadium
2023,2023-09-30T14:30:00-05:00,Sat,Kansas Jayhawks,102986,DKR-Texas Memorial Stadium
2023,2023-10-28T14:30:00-05:00,Sat,BYU Cougars,101670,DKR-Texas Memorial Stadium
2023,2023-11-04T11:00:00-05:00,Sat,Kansas State Wildcats,102846,DKR-Texas Memorial Stadium
2023,2023-11-24T18:30:00-06:00,Fri,Texas Tech Red Raiders,102452,DKR-Texas Memorial Stadium
2024,2024-08-31T14:30:00-05:00,Sat,Colorado State Rams,99171,DKR-Texas Memorial Stadium
2024,2024-09-14T18:00:00-05:00,Sat,UTSA Roadrunners,101892,DKR-Texas Memorial Stadium
2024,2024-09-21T19:00:00-05:00,Sat,UL Monroe Warhawks,102850,DKR-Texas Memorial Stadium
2024,2024-09-28T15:15:00-05:00,Sat,Mississippi State Bulldogs,101388,DKR-Texas Memorial Stadium
2024,2024-10-19T18:49:00-05:00,Sat,Georgia Bulldogs,105215,DKR-Texas Memorial Stadium
2024,2024-11-09T11:00:00-06:00,Sat,Florida Gators,103375,DKR-Texas Memorial Stadium
2024,2024-11-23T14:30:00-06:00,Sat,Kentucky Wildcats,102811,DKR-Texas Memorial Stadium
2025,2025-09-06T11:00:00-05:00,Sat,San José State Spartans,100841,DKR-Texas Memorial Stadium
2025,2025-09-13T15:15:00-05:00,Sat,UTEP Miners,102025,DKR-Texas Memorial Stadium
2025,2025-09-20T19:00:00-05:00,Sat,Sam Houston Bearkats,103003,DKR-Texas Memorial Stadium
2025,2025-11-01T11:00:00-05:00,Sat,Vanderbilt Commodores,102338,DKR-Texas Memorial Stadium
2025,2025-11-22T14:30:00-06:00,Sat,Arkansas Razorbacks,102361,DKR-Texas Memorial Stadium
2025,2025-11-28T18:30:00-06:00,Fri,Texas A&M Aggies,103632,DKR-Texas Memorial Stadium
