interval,load_frac,wind_drop,stale,LZ_HOUSTON,LZ_NORTH,LZ_SOUTH,LZ_WEST
2024-08-20T12:00:00Z,0.55,0,0,37.0,25.0,30.0,17.0
2024-08-20T12:05:00Z,0.55,0,0,37.0,25.0,30.0,17.0
2024-08-20T12:10:00Z,0.55,0,0,37.0,25.0,30.0,17.0
2024-08-20T12:15:00Z,0.55,0,0,37.0,25.0,30.0,17.0
2024-08-20T12:20:00Z,0.55,0,0,37.0,25.0,30.0,17.0
2024-08-20T12:25:00Z,0.55,0,0,37.0,25.0,30.0,17.0
2024-08-20T12:30:00Z,0.55,0,0,37.0,25.0,30.0,17.0
2024-08-20T12:35:00Z,0.55,0,0,37.0,25.0,30.0,17.0
2024-08-20T12:40:00Z,0.55,0,0,37.0,25.0,30.0,17.0
2024-08-20T12:45:00Z,0.55,0,0,37.0,25.0,30.0,17.0
2024-08-20T12:50:00Z,0.55,0,0,37.0,25.0,30.0,17.0
2024-08-20T12:55:00Z,0.55,0,0,37.0,25.0,30.0,17.0
2024-08-20T13:00:00Z,0.59,0,0,39.0,27.0,32.0,19.0
2024-08-20T13:05:00Z,0.59,0,0,39.0,27.0,32.0,19.0
2024-08-20T13:10:00Z,0.59,0,0,39.0,27.0,32.0,19.0
2024-08-20T13:15:00Z,0.59,0,0,39.0,27.0,32.0,19.0
2024-08-20T13:20:00Z,0.59,0,0,39.0,27.0,32.0,19.0
2024-08-20T13:25:00Z,0.59,0,0,39.0,27.0,32.0,19.0
2024-08-20T13:30:00Z,0.59,0,0,39.0,27.0,32.0,19.0
2024-08-20T13:35:00Z,0.59,0,0,39.0,27.0,32.0,19.0
2024-08-20T13:40:00Z,0.59,0,0,39.0,27.0,32.0,19.0
2024-08-20T13:45:00Z,0.59,0,0,39.0,27.0,32.0,19.0
2024-08-20T13:50:00Z,0.59,0,0,39.0,27.0,32.0,19.0
2024-08-20T13:55:00Z,0.59,0,0,39.0,27.0,32.0,19.0
2024-08-20T14:00:00Z,0.63,0,0,41.0,29.0,34.0,21.0
2024-08-20T14:05:00Z,0.63,0,0,41.0,29.0,34.0,21.0
2024-08-20T14:10:00Z,0.63,0,0,41.0,29.0,34.0,21.0
2024-08-20T14:15:00Z,0.63,0,0,41.0,29.0,34.0,21.0
2024-08-20T14:20:00Z,0.63,0,0,41.0,29.0,34.0,21.0
2024-08-20T14:25:00Z,0.63,0,0,41.0,29.0,34.0,21.0
2024-08-20T14:30:00Z,0.63,0,0,41.0,29.0,34.0,21.0
2024-08-20T14:35:00Z,0.63,0,0,41.0,29.0,34.0,21.0
2024-08-20T14:40:00Z,0.63,0,0,41.0,29.0,34.0,21.0
2024-08-20T14:45:00Z,0.63,0,0,41.0,29.0,34.0,21.0
2024-08-20T14:50:00Z,0.63,0,0,41.0,29.0,34.0,21.0
2024-08-20T14:55:00Z,0.63,0,0,41.0,29.0,34.0,21.0
2024-08-20T15:00:00Z,0.93,1,0,393.0,381.0,386.0,163.0
2024-08-20T15:05:00Z,0.93,1,0,401.0,389.0,394.0,166.2
2024-08-20T15:10:00Z,0.93,1,0,409.0,397.0,402.0,169.4
2024-08-20T15:15:00Z,0.93,1,0,417.0,405.0,410.0,172.6
2024-08-20T15:20:00Z,0.93,1,1,425.0,413.0,418.0,175.8
2024-08-20T15:25:00Z,0.93,1,0,433.0,421.0,426.0,179.0
2024-08-20T15:30:00Z,0.93,1,0,441.0,429.0,434.0,182.2
2024-08-20T15:35:00Z,0.93,1,0,449.0,437.0,442.0,185.4
2024-08-20T15:40:00Z,0.93,1,0,457.0,445.0,450.0,188.6
2024-08-20T15:45:00Z,0.93,1,0,465.0,453.0,458.0,191.8
2024-08-20T15:50:00Z,0.93,1,0,473.0,461.0,466.0,195.0
2024-08-20T15:55:00Z,0.93,1,0,481.0,469.0,474.0,198.2
